STATION;SONDE;DateTime;Latitude;Longitude;Course;Speed;Altitude;Description
MALAO2-14;R3330518;2021-04-28 07:10:44;49.956;8.77716;270;11;276;Clb=-6.4m/s p=977.2hPa t=10.0C h=48.7% 402.70MHz Type=RS41-SGP Radiosonde Tracker - Manuel Lausmann
DK1FUN-14;R3330518;2021-04-28 07:10:40;49.956;8.77728;287;11;290;Clb=-4.6m/s p=975.4hPa t=9.6C h=49.3% 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
MALAO2-14;R3330518;2021-04-28 07:10:37;49.956;8.7774;292;13;305;Clb=-4.6m/s p=973.7hPa t=9.7C h=49.7% 402.70MHz Type=RS41-SGP Radiosonde Tracker - Manuel Lausmann
DK1FUN-14;R3330518;2021-04-28 07:10:34;49.956;8.77753;284;13;319;Clb=-4.8m/s p=972.1hPa t=9.5C h=49.9% 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
MALAO2-14;R3330518;2021-04-28 07:10:31;49.9559;8.77768;264;11;332;Clb=-5.4m/s p=970.7hPa t=9.3C h=50.3% 402.70MHz Type=RS41-SGP TxOff=2h38m batt=2.7V Radiosonde Tracker - Manuel Lausmann
DF7PN-AX;R3330518;2021-04-28 07:10:30;49.956;8.77776;272;9;343;Clb=-4.6m/s t=9.3C h=50.2% p=969.5hPa 402.700 MHz Type=RS41-SGP Radiosonde auto_rx v1.5.2-beta5
DK1FUN-14;R3330518;2021-04-28 07:10:28;49.9559;8.7778;280;9;346;Clb=-4.1m/s p=969.0hPa t=9.2C h=50.8% 402.70MHz Type=RS41-SGP TxOff=2h38m batt=2.7V Details zu http://radiosondy.info
MALAO2-14;R3330518;2021-04-28 07:10:25;49.9559;8.7779;301;13;360;Clb=-4.7m/s p=967.6hPa t=9.0C h=51.2% 402.70MHz Type=RS41-SGP Radiosonde Tracker - Manuel Lausmann
DK1FUN-14;R3330518;2021-04-28 07:10:22;49.9559;8.77802;285;15;373;Clb=-4.1m/s p=965.9hPa t=8.7C h=51.8% 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
MALAO2-14;R3330518;2021-04-28 07:10:19;49.9559;8.77818;276;17;388;Clb=-5.7m/s p=964.1hPa t=8.5C h=52.3% 402.70MHz Type=RS41-SGP Radiosonde Tracker - Manuel Lausmann
DK1FUN-14;R3330518;2021-04-28 07:10:16;49.9558;8.77836;289;17;407;Clb=-6.4m/s p=962.1hPa t=8.4C h=52.7% 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
MALAO2-14;R3330518;2021-04-28 07:10:13;49.9558;8.77853;301;20;425;Clb=-6.5m/s p=960.0hPa t=8.1C h=53.4% 402.70MHz Type=RS41-SGP TxOff=2h39m batt=2.7V Radiosonde Tracker - Manuel Lausmann
DK1FUN-14;R3330518;2021-04-28 07:10:11;49.9557;8.77866;303;24;437;Clb=-5.6m/s p=958.5hPa t=8.0C h=53.6% 402.70MHz Type=RS41-SGP TxOff=2h39m batt=2.7V Details zu http://radiosondy.info
MALAO2-14;R3330518;2021-04-28 07:10:07;49.9556;8.77897;302;26;459;Clb=-5.6m/s p=955.9hPa t=7.8C h=54.2% 402.70MHz Type=RS41-SGP Radiosonde Tracker - Manuel Lausmann
DK1FUN-14;R3330518;2021-04-28 07:10:05;49.9556;8.77913;302;26;471;Clb=-5.2m/s p=954.6hPa t=7.7C h=54.3% 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
MALAO2-14;R3330518;2021-04-28 07:10:01;49.9554;8.77946;307;28;489;Clb=-5.0m/s p=952.4hPa t=7.6C h=54.7% 402.70MHz Type=RS41-SGP Radiosonde Tracker - Manuel Lausmann
DL1ZP-14;R3330518;2021-04-28 07:10:00;49.9553;8.77963;306;26;500;Clb=-5.5m/s t=7.7C h=53.9% p=951.2hPa 402.701 MHz Type=RS41-SGP Radiosonde auto_rx v1.5.1
DK1FUN-14;R3330518;2021-04-28 07:09:59;49.9553;8.77963;307;28;500;Clb=-5.4m/s p=951.1hPa t=7.6C h=54.4% 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
MALAO2-14;R3330518;2021-04-28 07:09:55;49.9552;8.77996;311;26;521;Clb=-5.2m/s p=948.6hPa t=7.8C h=53.6% 402.70MHz Type=RS41-SGP TxOff=2h39m batt=2.7V Radiosonde Tracker - Manuel Lausmann
DK1FUN-14;R3330518;2021-04-28 07:09:53;49.9551;8.78011;313;24;532;Clb=-5.5m/s p=947.4hPa t=7.8C h=53.8% 402.70MHz Type=RS41-SGP TxOff=2h39m batt=2.6V Details zu http://radiosondy.info
MALAO2-14;R3330518;2021-04-28 07:09:49;49.9549;8.78036;319;20;554;Clb=-5.4m/s p=945.1hPa t=7.6C h=54.3% 402.70MHz Type=RS41-SGP Radiosonde Tracker - Manuel Lausmann
DG7FDE-14;R3330518;2021-04-28 07:09:47;49.9548;8.78047;321;19;565;Clb=-5.5m/s t=4.8C 402.70MHz Type=RS41-SGP Vy 73 de DG7FDE
MALAO2-14;R3330518;2021-04-28 07:09:43;49.9547;8.78066;325;26;587;Clb=-5.3m/s p=941.1hPa t=7.4C h=55.3% 402.70MHz Type=RS41-SGP Radiosonde Tracker - Manuel Lausmann
DK1FUN-14;R3330518;2021-04-28 07:09:41;49.9546;8.78077;322;26;597;Clb=-4.8m/s p=940.0hPa t=7.4C h=55.2% 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
MALAO2-14;R3330518;2021-04-28 07:09:37;49.9544;8.78106;310;22;618;Clb=-5.3m/s p=937.8hPa t=7.6C h=55.7% 402.70MHz Type=RS41-SGP TxOff=2h39m batt=2.7V Radiosonde Tracker - Manuel Lausmann
DK1FUN-14;R3330518;2021-04-28 07:09:35;49.9543;8.78121;311;20;628;Clb=-5.0m/s p=936.5hPa t=7.8C h=55.3% 402.70MHz Type=RS41-SGP TxOff=2h39m batt=2.7V Details zu http://radiosondy.info
MALAO2-14;R3330518;2021-04-28 07:09:31;49.9542;8.78142;328;17;650;Clb=-5.3m/s p=933.9hPa t=8.7C h=53.6% 402.70MHz Type=RS41-SGP Radiosonde Tracker - Manuel Lausmann
DF7PN-AX;R3330518;2021-04-28 07:09:30;49.9541;8.78148;343;15;661;Clb=-5.5m/s t=9.2C h=52.1% p=932.8hPa 402.700 MHz Type=RS41-SGP Radiosonde auto_rx v1.5.2-beta5
DG7FDE-14;R3330518;2021-04-28 07:09:29;49.9541;8.78148;344;17;661;Clb=-5.5m/s t=6.4C 402.70MHz Type=RS41-SGP Vy 73 de DG7FDE
MALAO2-14;R3330518;2021-04-28 07:09:25;49.9539;8.78152;353;17;684;Clb=-5.6m/s p=930.2hPa t=9.0C h=53.0% 402.70MHz Type=RS41-SGP Radiosonde Tracker - Manuel Lausmann
DK1FUN-14;R3330518;2021-04-28 07:09:24;49.9539;8.78153;353;15;689;Clb=-5.6m/s p=929.6hPa t=9.0C h=53.0% 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
DG7FDE-14;R3330518;2021-04-28 07:09:22;49.9538;8.78155;354;15;700;Clb=-5.4m/s t=6.2C 402.70MHz Type=RS41-SGP Vy 73 de DG7FDE
