STATION;SONDE;DateTime;Latitude;Longitude;Course;Speed;Altitude;Description
DL1ZP-14;S3140158;2021-07-05 12:59:30;49.8242;8.61525;8;26;221;Clb=-13.7m/s t=18.6C h=81.3% p=990.1hPa 402.701 MHz Type=RS41-SGP Radiosonde auto_rx v1.5.4
DL1ZP-14;S3140158;2021-07-05 12:59:00;49.8235;8.61487;18;31;359;Clb=-13.4m/s t=17.0C h=87.0% p=974.2hPa 402.701 MHz Type=RS41-SGP Radiosonde auto_rx v1.5.4
MALAO2-14;S3140158;2021-07-05 12:58:59;49.8235;8.61487;19;30;359;Clb=-13.3m/s p=974.2hPa t=16.9C h=86.8% 402.70MHz Type=RS41-SGP Radiosonde Tracker - Manuel Lausmann
MALAO2-14;S3140158;2021-07-05 12:58:53;49.823;8.61473;16;35;433;Clb=-12.1m/s p=965.7hPa t=16.3C h=91.1% 402.70MHz Type=RS41-SGP TxOff=2h52m batt=2.6V Radiosonde Tracker - Manuel Lausmann
MALAO2-14;S3140158;2021-07-05 12:58:47;49.8225;8.61444;24;35;508;Clb=-13.4m/s p=956.9hPa t=15.6C h=88.9% 402.70MHz Type=RS41-SGP Radiosonde Tracker - Manuel Lausmann
MALAO2-14;S3140158;2021-07-05 12:58:41;49.8221;8.61412;20;33;589;Clb=-14.8m/s p=948.3hPa t=14.8C h=95.5% 402.70MHz Type=RS41-SGP Radiosonde Tracker - Manuel Lausmann
MALAO2-14;S3140158;2021-07-05 12:58:35;49.8216;8.61385;15;26;670;Clb=-12.4m/s p=938.7hPa t=14.0C 402.70MHz Type=RS41-SGP TxOff=2h52m batt=2.7V Radiosonde Tracker - Manuel Lausmann
MALAO2-14;S3140158;2021-07-05 12:58:29;49.8213;8.61362;20;30;745;Clb=-12.7m/s p=930.4hPa t=13.5C 402.70MHz Type=RS41-SGP Radiosonde Tracker - Manuel Lausmann
DL3PW-14;S3140158;2021-07-05 12:58:26;49.821;8.61348;30;30;781;Clb=-11.7m/s t=13.8C 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
MALAO2-14;S3140158;2021-07-05 12:58:23;49.8208;8.61334;30;30;818;Clb=-14.4m/s p=922.5hPa t=13.0C 402.70MHz Type=RS41-SGP Radiosonde Tracker - Manuel Lausmann
DL3PW-14;S3140158;2021-07-05 12:58:21;49.8207;8.61321;36;30;847;Clb=-14.4m/s t=13.6C 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
MALAO2-14;S3140158;2021-07-05 12:58:17;49.8205;8.61292;39;30;904;Clb=-13.7m/s p=912.9hPa t=12.5C 402.70MHz Type=RS41-SGP TxOff=2h52m batt=2.7V Radiosonde Tracker - Manuel Lausmann
DL3PW-14;S3140158;2021-07-05 12:58:16;49.8204;8.61285;37;31;918;Clb=-14.1m/s t=13.1C 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
MALAO2-14;S3140158;2021-07-05 12:58:11;49.8201;8.61244;51;30;982;Clb=-14.3m/s p=904.8hPa t=12.1C 402.70MHz Type=RS41-SGP Radiosonde Tracker - Manuel Lausmann
DL3PW-14;S3140158;2021-07-05 12:58:06;49.8199;8.61198;48;33;1049;Clb=-11.9m/s t=12.4C 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
MALAO2-14;S3140158;2021-07-05 12:58:05;49.8198;8.61188;48;33;1061;Clb=-12.9m/s p=896.1hPa t=11.8C 402.70MHz Type=RS41-SGP Radiosonde Tracker - Manuel Lausmann
DL3PW-14;S3140158;2021-07-05 12:58:01;49.8196;8.61151;49;35;1110;Clb=-12.8m/s t=12.1C 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
DL1ZP-14;S3140158;2021-07-05 12:58:00;49.8195;8.61131;47;33;1138;Clb=-14.0m/s t=11.4C h=100.0% p=888.3hPa 402.701 MHz Type=RS41-SGP Radiosonde auto_rx v1.5.4
MALAO2-14;S3140158;2021-07-05 12:57:59;49.8194;8.61131;48;35;1138;Clb=-14.0m/s p=888.2hPa t=11.4C 402.70MHz Type=RS41-SGP TxOff=2h53m batt=2.7V Radiosonde Tracker - Manuel Lausmann
DL3PW-14;S3140158;2021-07-05 12:57:56;49.8193;8.61103;47;35;1177;Clb=-13.1m/s t=11.8C 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
DB0SC-14;S3140158;2021-07-05 12:57:54;49.8191;8.61084;44;35;1203;Clb=-13.0m/s t=11.7C 402.70MHz Type=RS41-SGP https://www.darc.de
MALAO2-14;S3140158;2021-07-05 12:57:53;49.8191;8.61075;40;35;1216;Clb=-12.4m/s p=880.0hPa t=11.0C 402.70MHz Type=RS41-SGP Radiosonde Tracker - Manuel Lausmann
DL3PW-14;S3140158;2021-07-05 12:57:51;49.8189;8.61058;42;35;1240;Clb=-12.5m/s t=11.5C 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
DB0SC-14;S3140158;2021-07-05 12:57:48;49.8187;8.6103;40;39;1277;Clb=-12.9m/s t=11.4C 402.70MHz Type=RS41-SGP https://www.darc.de
MALAO2-14;S3140158;2021-07-05 12:57:47;49.8187;8.61021;41;37;1291;Clb=-12.8m/s p=872.2hPa t=10.7C 402.70MHz Type=RS41-SGP Radiosonde Tracker - Manuel Lausmann
DL3PW-14;S3140158;2021-07-05 12:57:46;49.8186;8.61011;40;39;1303;Clb=-12.5m/s t=11.2C 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
DB0SWR-14;S3140158;2021-07-05 12:57:43;49.8184;8.60982;49;41;1337;Clb=-12.6m/s t=11.0C 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
DB0SC-14;S3140158;2021-07-05 12:57:42;49.8183;8.60971;42;39;1349;Clb=-12.5m/s t=11.0C 402.70MHz Type=RS41-SGP https://www.darc.de
MALAO2-14;S3140158;2021-07-05 12:57:41;49.8182;8.60961;46;43;1362;Clb=-13.4m/s p=864.4hPa t=10.3C 402.70MHz Type=RS41-SGP TxOff=2h53m batt=2.6V Radiosonde Tracker - Manuel Lausmann
