STATION;SONDE;DateTime;Latitude;Longitude;Course;Speed;Altitude;Description
DL1ZP-14;T2940341;2022-06-03 01:34:40;49.8854;8.63262;243;19;212;Clb=-8.4m/s t=14.6C h=55.9% p=998.0hPa 402.701 MHz Type=RS41-SGP ser=T2940341 Radiosonde
DAVRU1-11;T2940341;2022-06-03 01:34:35;49.8856;8.63296;247;22;258;Clb=-8.8m/s p=992.8hPa t=14.1C h=57.0% 402.70MHz Type=RS41-SGP rssi=65.7dB powerup=3h02m56s rx=402700(+0/5)
DAVRU1-11;T2940341;2022-06-03 01:34:32;49.8856;8.63322;252;28;283;Clb=-8.7m/s p=989.9hPa t=13.9C h=57.7% 402.70MHz Type=RS41-SGP rssi=62.0dB powerup=3h02m53s rx=402700(+0/5)
DAVRU1-11;T2940341;2022-06-03 01:34:29;49.8857;8.63354;255;31;307;Clb=-8.2m/s p=987.0hPa t=13.8C h=57.8% 402.70MHz Type=RS41-SGP TxOff=2h13m batt=2.6V rssi=65.0dB powerup=3h02m50s rx=402700(+0/5)
DAVRU1-11;T2940341;2022-06-03 01:34:26;49.8857;8.6339;257;33;334;Clb=-9.3m/s p=983.8hPa t=14.3C h=54.2% 402.70MHz Type=RS41-SGP rssi=70.8dB powerup=3h02m47s rx=402700(+0/5)
DAVRU1-11;T2940341;2022-06-03 01:34:23;49.8858;8.6343;264;37;358;Clb=-8.3m/s p=980.7hPa t=15.1C h=48.5% 402.70MHz Type=RS41-SGP rssi=72.9dB powerup=3h02m44s rx=402700(+0/5)
DAVRU1-11;T2940341;2022-06-03 01:34:20;49.8858;8.63473;271;37;384;Clb=-8.3m/s p=977.8hPa t=15.3C h=46.7% 402.70MHz Type=RS41-SGP TxOff=2h13m batt=2.6V rssi=74.9dB powerup=3h02m41s rx=402700(+0/5)
DAVRU1-11;T2940341;2022-06-03 01:34:17;49.8858;8.63516;272;35;410;Clb=-9.4m/s p=974.8hPa t=15.4C h=43.7% 402.70MHz Type=RS41-SGP rssi=75.2dB powerup=3h02m38s rx=402700(+0/5)
DAVRU1-11;T2940341;2022-06-03 01:34:14;49.8858;8.63557;273;35;437;Clb=-8.9m/s p=971.9hPa t=15.4C h=42.3% 402.70MHz Type=RS41-SGP rssi=74.3dB powerup=3h02m35s rx=402700(+0/5)
DAVRU1-11;T2940341;2022-06-03 01:34:11;49.8857;8.63598;281;37;461;Clb=-9.1m/s p=969.0hPa t=15.3C h=41.6% 402.70MHz Type=RS41-SGP TxOff=2h14m batt=2.6V rssi=74.2dB powerup=3h02m32s rx=402700(+0/5)
DL1ZP-14;T2940341;2022-06-03 01:34:09;49.8857;8.63627;280;35;476;Clb=-8.4m/s t=15.3C h=41.9% p=967.1hPa 402.701 MHz Type=RS41-SGP ser=T2940341 Radiosonde
DAVRU1-11;T2940341;2022-06-03 01:34:08;49.8857;8.6364;280;37;485;Clb=-9.2m/s p=966.4hPa t=15.2C h=42.2% 402.70MHz Type=RS41-SGP rssi=74.5dB powerup=3h02m29s rx=402700(+0/5)
DAVRU1-11;T2940341;2022-06-03 01:34:05;49.8856;8.63684;284;43;513;Clb=-9.3m/s p=963.2hPa t=15.2C h=41.9% 402.70MHz Type=RS41-SGP rssi=74.0dB powerup=3h02m26s rx=402700(+0/5)
DAVRU1-11;T2940341;2022-06-03 01:34:02;49.8855;8.63732;290;44;539;Clb=-9.0m/s p=960.3hPa t=15.9C h=37.8% 402.70MHz Type=RS41-SGP TxOff=2h14m batt=2.6V rssi=71.5dB powerup=3h02m23s rx=402700(+0/5)
DAVRU1-11;T2940341;2022-06-03 01:33:59;49.8854;8.63781;293;44;565;Clb=-9.7m/s p=957.3hPa t=16.2C h=35.8% 402.70MHz Type=RS41-SGP rssi=72.3dB powerup=3h02m20s rx=402700(+0/5)
DAVRU1-11;T2940341;2022-06-03 01:33:56;49.8853;8.63829;294;44;595;Clb=-10.6m/s p=954.3hPa t=16.5C h=32.8% 402.70MHz Type=RS41-SGP rssi=73.5dB powerup=3h02m17s rx=402700(+0/5)
DAVRU1-11;T2940341;2022-06-03 01:33:53;49.8851;8.63876;297;46;625;Clb=-9.5m/s p=951.2hPa t=16.4C h=32.0% 402.70MHz Type=RS41-SGP TxOff=2h14m batt=2.6V rssi=74.8dB powerup=3h02m14s rx=402700(+0/5)
DL3PW-14;T2940341;2022-06-03 01:33:51;49.885;8.63907;299;44;641;Clb=-8.6m/s t=17.7C 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
DAVRU1-11;T2940341;2022-06-03 01:33:50;49.885;8.63922;299;43;650;Clb=-8.7m/s p=948.1hPa t=16.4C h=34.3% 402.70MHz Type=RS41-SGP rssi=74.4dB powerup=3h02m11s rx=402700(+0/5)
DAVRU1-11;T2940341;2022-06-03 01:33:47;49.8848;8.63965;302;41;676;Clb=-9.4m/s p=945.2hPa t=16.6C h=27.7% 402.70MHz Type=RS41-SGP rssi=73.5dB powerup=3h02m08s rx=402700(-1/5)
DAVRU1-11;T2940341;2022-06-03 01:33:44;49.8846;8.64005;302;39;703;Clb=-8.5m/s p=942.2hPa t=16.5C h=36.9% 402.70MHz Type=RS41-SGP TxOff=2h14m batt=2.6V rssi=72.9dB powerup=3h02m05s rx=402700(-1/5)
DL3PW-14;T2940341;2022-06-03 01:33:43;49.8846;8.64018;303;39;712;Clb=-9.8m/s t=17.8C 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
DAVRU1-11;T2940341;2022-06-03 01:33:41;49.8845;8.64043;303;39;732;Clb=-8.7m/s p=938.9hPa t=16.3C h=40.6% 402.70MHz Type=RS41-SGP rssi=73.5dB powerup=3h02m02s rx=402700(-1/5)
DL1ZP-14;T2940341;2022-06-03 01:33:38;49.8843;8.64079;307;37;759;Clb=-9.6m/s t=16.2C h=42.4% p=936.0hPa 402.701 MHz Type=RS41-SGP ser=T2940341 Radiosonde
DAVRU1-11;T2940341;2022-06-03 01:33:35;49.8841;8.64112;310;37;788;Clb=-10.0m/s p=932.9hPa t=16.1C h=44.1% 402.70MHz Type=RS41-SGP TxOff=2h14m batt=2.6V rssi=79.0dB powerup=3h01m56s rx=402700(-1/5)
DAVRU1-11;T2940341;2022-06-03 01:33:32;49.884;8.64142;316;33;814;Clb=-8.9m/s p=929.7hPa t=16.0C h=45.8% 402.70MHz Type=RS41-SGP rssi=78.4dB powerup=3h01m53s rx=402700(+0/5)
DAVRU1-11;T2940341;2022-06-03 01:33:29;49.8838;8.64169;317;31;843;Clb=-10.8m/s p=926.7hPa t=15.9C h=47.4% 402.70MHz Type=RS41-SGP rssi=77.2dB powerup=3h01m50s rx=402700(+0/5)
DAVRU1-11;T2940341;2022-06-03 01:33:26;49.8836;8.64193;323;26;872;Clb=-9.8m/s p=923.5hPa t=15.9C h=48.8% 402.70MHz Type=RS41-SGP TxOff=2h14m batt=2.6V rssi=77.0dB powerup=3h01m47s rx=402700(+0/5)
DG7FDE-14;T2940341;2022-06-03 01:33:23;49.8835;8.64211;323;22;902;Clb=-9.7m/s p=920.3hPa t=16.0C h=52.3% 402.70MHz Type=RS41-SGP vy 73 de DG7FDE
DAVRU1-11;T2940341;2022-06-03 01:33:20;49.8833;8.64224;335;24;930;Clb=-9.7m/s p=917.0hPa t=15.7C h=53.4% 402.70MHz Type=RS41-SGP rssi=77.7dB powerup=3h01m41s rx=402700(+0/5)
DG7FDE-14;T2940341;2022-06-03 01:33:17;49.8832;8.64236;336;20;959;Clb=-11.5m/s p=913.9hPa t=15.5C h=54.3% 402.70MHz Type=RS41-SGP vy 73 de DG7FDE
DB0SC-14;T2940341;2022-06-03 01:33:16;49.8831;8.6424;337;22;970;Clb=-11.3m/s t=16.7C 402.70MHz Type=RS41-SGP https://www.darc.de
DAVRU1-11;T2940341;2022-06-03 01:33:14;49.883;8.64245;341;20;992;Clb=-11.1m/s p=910.4hPa t=15.2C h=55.4% 402.70MHz Type=RS41-SGP rssi=77.4dB powerup=3h01m35s rx=402700(+0/5)
DG7FDE-14;T2940341;2022-06-03 01:33:11;49.8828;8.64253;347;20;1024;Clb=-11.5m/s p=906.8hPa t=15.0C h=57.1% 402.70MHz Type=RS41-SGP TxOff=2h15m batt=2.6V vy 73 de DG7FDE
DB0SC-14;T2940341;2022-06-03 01:33:10;49.8828;8.64254;351;19;1034;Clb=-10.2m/s t=16.2C 402.70MHz Type=RS41-SGP https://www.darc.de
DL1ZP-14;T2940341;2022-06-03 01:33:07;49.8826;8.64256;351;17;1065;Clb=-10.8m/s t=14.7C h=59.0% p=902.6hPa 402.701 MHz Type=RS41-SGP ser=T2940341 Radiosonde
DAVRU1-11;T2940341;2022-06-03 01:33:06;49.8826;8.64257;350;19;1075;Clb=-10.2m/s p=901.4hPa t=14.5C h=59.7% 402.70MHz Type=RS41-SGP rssi=78.8dB powerup=3h01m27s rx=402700(+0/5)
DG7FDE-14;T2940341;2022-06-03 01:33:05;49.8826;8.64258;8;17;1085;Clb=-10.2m/s p=900.1hPa t=14.4C h=60.0% 402.70MHz Type=RS41-SGP vy 73 de DG7FDE
DB0SC-14;T2940341;2022-06-03 01:33:04;49.8825;8.64257;359;19;1095;Clb=-9.9m/s t=15.7C 402.70MHz Type=RS41-SGP https://www.darc.de
DL3PW-14;T2940341;2022-06-03 01:33:02;49.8824;8.64257;4;19;1114;Clb=-10.8m/s t=15.5C 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
DG7FDE-14;T2940341;2022-06-03 01:33:00;49.8823;8.64256;11;19;1135;Clb=-10.7m/s p=894.9hPa t=14.0C h=62.1% 402.70MHz Type=RS41-SGP vy 73 de DG7FDE
DL9SK-14;T2940341;2022-06-03 01:32:59;49.8823;8.64255;7;19;1145;Clb=-10.5m/s p=893.8hPa t=13.9C h=62.7% 402.70MHz Type=RS41-SGP TxOff=2h15m batt=2.6V DL9SK JN49OB www.kurzelinks.de/Radiosonde-Stuttgart
DB0SC-14;T2940341;2022-06-03 01:32:58;49.8822;8.64254;7;19;1154;Clb=-9.7m/s t=15.2C 402.70MHz Type=RS41-SGP https://www.darc.de
DAVRU1-11;T2940341;2022-06-03 01:32:56;49.8822;8.64252;6;19;1174;Clb=-11.9m/s p=890.9hPa t=13.7C h=63.5% 402.70MHz Type=RS41-SGP TxOff=2h15m batt=2.6V rssi=79.4dB powerup=3h01m17s rx=402700(+0/5)
DL3PW-14;T2940341;2022-06-03 01:32:55;49.8821;8.64251;15;19;1186;Clb=-12.1m/s t=14.9C 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
DG7FDE-14;T2940341;2022-06-03 01:32:54;49.8821;8.64249;11;19;1198;Clb=-10.6m/s p=888.5hPa t=13.5C h=64.1% 402.70MHz Type=RS41-SGP TxOff=2h15m batt=2.5V vy 73 de DG7FDE
DB0SC-14;T2940341;2022-06-03 01:32:52;49.882;8.64247;8;19;1218;Clb=-10.9m/s t=14.7C 402.70MHz Type=RS41-SGP https://www.darc.de
DL3PW-14;T2940341;2022-06-03 01:32:50;49.8819;8.64245;9;19;1238;Clb=-11.9m/s t=14.6C 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
DG7FDE-14;T2940341;2022-06-03 01:32:48;49.8818;8.64241;22;17;1261;Clb=-12.2m/s p=881.9hPa t=13.0C h=64.4% 402.70MHz Type=RS41-SGP vy 73 de DG7FDE
DB0SC-14;T2940341;2022-06-03 01:32:46;49.8817;8.64237;14;17;1285;Clb=-12.0m/s t=14.2C 402.70MHz Type=RS41-SGP https://www.darc.de
DL3PW-14;T2940341;2022-06-03 01:32:45;49.8817;8.64236;10;17;1297;Clb=-12.4m/s t=14.1C 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
DL9SK-14;T2940341;2022-06-03 01:32:44;49.8816;8.64233;19;19;1319;Clb=-11.8m/s p=876.0hPa t=12.5C h=66.4% 402.70MHz Type=RS41-SGP DL9SK JN49OB www.kurzelinks.de/Radiosonde-Stuttgart
DG5FDG-14;T2940341;2022-06-03 01:32:43;49.8816;8.64233;19;19;1319;Clb=-11.8m/s p=876.0hPa t=12.5C h=66.4% 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
DB0SC-14;T2940341;2022-06-03 01:32:40;49.8814;8.64229;17;19;1352;Clb=-11.6m/s t=13.5C 402.70MHz Type=RS41-SGP https://www.darc.de
DG5FDG-14;T2940341;2022-06-03 01:32:37;49.8813;8.64225;7;20;1385;Clb=-11.8m/s p=869.0hPa t=11.9C h=68.9% 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
DL1ZP-14;T2940341;2022-06-03 01:32:36;49.8813;8.64224;3;20;1396;Clb=-11.8m/s t=11.8C h=69.0% p=867.9hPa 402.701 MHz Type=RS41-SGP ser=T2940341 Radiosonde
